# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = tmpltgry_al_model
# start_datetime = 2025-01-24 14:26:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 200
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/9z/bf6qfjvd695cjkj7s4ss1cxh0000gn/T/tmpnvbn_v57/9qba0r9r.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/9z/bf6qfjvd695cjkj7s4ss1cxh0000gn/T/tmpnvbn_v57/two_step_model8b0ad4f9/two_step_model-20250124092625_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = --filename-in-msg=two_step_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha_exec,alpha_idea
# Adaptation terminated
# Step size = 0.111596
# Diagonal elements of inverse mass matrix:
# 1.25188, 0.011343, 0.00758529
-91.3288,0.777139,0.111596,3,15,0,94.3884,-13.9596,1.10325,1.17472
-90.5736,1,0.111596,2,3,0,91.8988,-13.9658,1.10057,1.17133
-90.5192,1,0.111596,2,7,0,91.2238,-14.7474,1.10524,1.14909
-87.0672,0.970233,0.111596,2,3,0,91.0865,-14.4264,1.11856,1.14464
-87.1314,0.973275,0.111596,4,31,0,88.4127,-15.2637,1.20516,1.22434
-87.3824,0.990065,0.111596,5,31,0,88.2604,-16.1407,1.21511,1.35357
-88.0999,0.907966,0.111596,4,19,0,89.4106,-15.9917,1.28744,1.2683
-90.2481,0.853949,0.111596,5,39,0,91.0508,-13.6913,1.02003,1.19387
-86.8838,0.998683,0.111596,5,31,0,90.0059,-14.4543,1.07616,1.20575
-87.5837,0.739561,0.111596,2,7,0,90.3929,-14.6163,1.04916,1.24089
-87.7423,0.932024,0.111596,5,63,0,91.4805,-16.2889,1.21794,1.37788
-88.7199,0.955749,0.111596,4,31,0,89.1167,-17.1671,1.27614,1.40668
-89.1695,0.975605,0.111596,2,3,0,89.3483,-17.2365,1.27629,1.40949
-87.9519,0.999295,0.111596,5,35,0,90.6633,-15.4172,1.20723,1.27093
-87.8946,0.968913,0.111596,3,15,0,89.1024,-15.6112,1.16328,1.2602
-88.1272,0.961596,0.111596,5,47,0,89.5581,-13.7331,1.07483,1.12326
-87.3795,0.941362,0.111596,4,23,0,89.5288,-14.9304,1.13617,1.25211
-87.7838,0.998837,0.111596,5,39,0,89.2133,-13.4722,1.05137,1.07176
-87.7735,0.95995,0.111596,4,23,0,88.9926,-13.769,1.0148,1.17068
-87.8524,0.941448,0.111596,2,3,0,88.441,-13.8077,1.01679,1.17753
-89.4917,0.931211,0.111596,4,23,0,90.9328,-14.3288,0.981304,1.25022
-87.1245,0.801778,0.111596,3,15,0,94.7113,-14.2074,1.06526,1.18929
-87.7955,0.925241,0.111596,3,15,0,88.1963,-14.1101,1.10133,1.15781
-88.2639,0.98849,0.111596,4,23,0,89.3749,-13.4589,0.995399,1.09594
-89.9217,0.989686,0.111596,5,31,0,91.4091,-15.9602,1.30576,1.18361
-87.4612,0.990699,0.111596,4,15,0,90.1511,-15.9373,1.25371,1.24908
-87.3103,1,0.111596,2,3,0,87.4454,-15.8563,1.25781,1.25144
-87.5822,0.965754,0.111596,4,15,0,87.7501,-15.885,1.26507,1.26733
-87.8147,0.979069,0.111596,3,7,0,87.9563,-15.8368,1.26554,1.26584
-89.1872,0.90188,0.111596,2,3,0,89.2261,-15.7358,1.26959,1.27082
-89.4556,0.98873,0.111596,4,23,0,90.4381,-16.8918,1.28735,1.33137
-89.255,0.983615,0.111596,5,39,0,91.0309,-13.2794,0.954865,1.09785
-87.9159,0.994783,0.111596,5,31,0,89.6937,-13.9084,1.10003,1.12138
-87.2579,0.958598,0.111596,2,3,0,88.3568,-13.9459,1.086,1.12314
-87.7034,0.994968,0.111596,4,15,0,89.6018,-14.8954,1.06388,1.2718
-89.5456,0.899962,0.111596,4,15,0,89.9847,-14.8343,1.05527,1.31865
-88.1318,0.999797,0.111596,4,31,0,90.6072,-15.6572,1.15882,1.347
-87.6661,0.996069,0.111596,5,39,0,88.82,-14.7267,1.18211,1.16538
-87.8425,0.759404,0.111596,5,31,0,91.5474,-13.3767,1.01722,1.10608
-87.6185,0.991228,0.111596,5,63,0,89.9434,-16.3595,1.27784,1.29106
-87.8851,0.99364,0.111596,5,39,0,88.8583,-13.7839,1.00181,1.14774
-87.0895,1,0.111596,5,63,0,88.1907,-16.2492,1.23181,1.33638
-89.0361,0.908647,0.111596,3,15,0,90.2155,-16.3715,1.34447,1.25144
